model_name,query_id,query_text,rank,retrieved_doc_id_internal,retrieved_original_ticket_id,retrieved_subject,score,is_self_retrieval
all-MiniLM-L6-v2,790,Digital strategies for brand expansion inquiry,2,3843,3843,Assistance with Brand Expansion,0.87800014,False
all-MiniLM-L6-v2,790,Digital strategies for brand expansion inquiry,3,8323,8323,Seeking Strategies for Digital Brand Expansion,0.86175907,False
all-MiniLM-L6-v2,1195,Suspected security breach with unauthorized medical data access,1,8925,8925,Medical Data Breach Investigation Request,0.8921521,False
all-MiniLM-L6-v2,1195,Suspected security breach with unauthorized medical data access,2,2791,2791,Alert on Possible Security Breach Involving Unauthorised Data Access,0.8843151,False
all-MiniLM-L6-v2,1195,Suspected security breach with unauthorized medical data access,3,1290,1290,Incident of Data Breach in Medical Records System,0.8807794,False
all-MiniLM-L6-v2,1372,Persistent login problem despite cache clearing,1,10526,10526,Encountering login difficulties possibly caused by cache problems that emerged recently,0.8199908,False
all-MiniLM-L6-v2,1372,Persistent login problem despite cache clearing,2,4360,4360,Issue with login related to cache problems,0.8125724,False
all-MiniLM-L6-v2,1372,Persistent login problem despite cache clearing,3,234,234,Login Issue Possibly Linked to Caching,0.7872448,False
all-MiniLM-L6-v2,1479,Data analytics disruption after server crash,1,1479,1479,Support Request: Data Analytics Disruption,0.7919975,True
all-MiniLM-L6-v2,1479,Data analytics disruption after server crash,2,6645,6645,Unexpected Crash of the Data Analytics System,0.7856144,False
all-MiniLM-L6-v2,1479,Data analytics disruption after server crash,3,2852,2852,Crash Incident in Data Analytics Platform,0.78419507,False
all-MiniLM-L6-v2,1541,ClickUp integration causing project management delays,1,1541,1541,Problem with ClickUp Integration,0.7708888,True
all-MiniLM-L6-v2,1541,ClickUp integration causing project management delays,2,3693,3693,Support Request for ClickUp Integration,0.73765826,False
all-MiniLM-L6-v2,1541,ClickUp integration causing project management delays,3,6220,6220,Concern about ClickUp Integration,0.7208917,False
all-MiniLM-L6-v2,1754,HubSpot CRM integration compatibility issues,1,1754,1754,Problem with HubSpot Integration,0.84983474,True
all-MiniLM-L6-v2,1754,HubSpot CRM integration compatibility issues,2,3701,3701,Problem with HubSpot CRM Integration Today,0.82772213,False
all-MiniLM-L6-v2,1754,HubSpot CRM integration compatibility issues,3,7264,7264,Inquiry on HubSpot Integration Features,0.73585874,False
all-MiniLM-L6-v2,1764,Investment optimization tools malfunctioning post-update,1,1764,1764,Problem with Investment Optimization Tools,0.75847864,True
all-MiniLM-L6-v2,1764,Investment optimization tools malfunctioning post-update,2,2781,2781,Investment Tool Malfunction,0.75755715,False
all-MiniLM-L6-v2,1764,Investment optimization tools malfunctioning post-update,3,1873,1873,Problem with Investments Optimization Tool,0.7536732,False
all-MiniLM-L6-v2,1838,Login problems possibly due to outdated credentials,1,10333,10333,Challenge with Login Credentials,0.72983336,False
all-MiniLM-L6-v2,1838,Login problems possibly due to outdated credentials,2,6626,6626,Issues with Login Today,0.66283166,False
all-MiniLM-L6-v2,1838,Login problems possibly due to outdated credentials,3,6699,6699,Problem with Login Authentication,0.6558286,False
all-MiniLM-L6-v2,1864,Inquiry about secure medical data storage updates,1,1864,1864,Secure Data Storage Systems,0.8724694,True
all-MiniLM-L6-v2,1864,Inquiry about secure medical data storage updates,2,10089,10089,Plan for Safeguarding Medical Data,0.8103701,False
all-MiniLM-L6-v2,1864,Inquiry about secure medical data storage updates,3,87,87,Upgrade Medical Data Security Protocols,0.7879086,False
all-MiniLM-L6-v2,1904,Request for investment optimization analytics services info,1,9423,9423,Enquiry on Data Analytics Services for Investment Optimization,0.87414265,False
all-MiniLM-L6-v2,1904,Request for investment optimization analytics services info,2,1904,1904,Investment Data Analytics Services,0.8730295,True
all-MiniLM-L6-v2,1904,Request for investment optimization analytics services info,3,1687,1687,Request for Information on Investment Optimization Services and Data Analytics Solutions,0.8591542,False
all-MiniLM-L6-v2,1907,Magento 2.4 integration assistance for digital marketing,1,1907,1907,Support Required for Magento Integration,0.84025854,True
all-MiniLM-L6-v2,1907,Magento 2.4 integration assistance for digital marketing,2,1773,1773,Details on Magento 2.4 Marketing Automation Features,0.6997324,False
all-MiniLM-L6-v2,1907,Magento 2.4 integration assistance for digital marketing,3,9393,9393,Support with Digital Marketing,0.6898992,False
all-MiniLM-L6-v2,1946,Keras integration documentation request for project management SaaS,1,1946,1946,Support for Integrating Keras,0.8518641,True
all-MiniLM-L6-v2,1946,Keras integration documentation request for project management SaaS,2,1382,1382,Support for Integrating Keras with Project Management SaaS,0.72972775,False
all-MiniLM-L6-v2,1946,Keras integration documentation request for project management SaaS,3,8369,8369,Details on SaaS Project Management Integrations,0.64673066,False
all-MiniLM-L6-v2,1970,Security best practices for medical data with RapidMiner and AWS,1,1970,1970,Security Practices,0.96160537,True
all-MiniLM-L6-v2,1970,Security best practices for medical data with RapidMiner and AWS,2,2770,2770,Security Measures for Medical Data in RapidMiner and AWS Integration,0.9371228,False
all-MiniLM-L6-v2,1970,Security best practices for medical data with RapidMiner and AWS,3,5195,5195,Advice on Securing Medical Data in RapidMiner for Hospitals,0.83196425,False
all-MiniLM-L6-v2,1984,Investment model producing suboptimal recommendations due to outdated data,1,1984,1984,Investment Optimization Model Problem Identified,0.82785803,True
all-MiniLM-L6-v2,1984,Investment model producing suboptimal recommendations due to outdated data,2,1762,1762,Problem Identified in Investment Optimization Model,0.8130995,False
all-MiniLM-L6-v2,1984,Investment model producing suboptimal recommendations due to outdated data,3,2955,2955,Investment Support Request,0.6928928,False
all-MiniLM-L6-v2,2001,Campaign data vanished after Node.js update,1,4745,4745,Missing Campaign Information Following Node.js Update,0.7630193,False
all-MiniLM-L6-v2,2001,Campaign data vanished after Node.js update,2,6689,6689,Issue with Campaign Data After Node Update,0.75684714,False
all-MiniLM-L6-v2,2001,Campaign data vanished after Node.js update,3,9594,9594,Problem With Campaign Data Display,0.75222373,False
all-MiniLM-L6-v2,2040,Request for advanced data visualization tool upgrades,1,2040,2040,Request for Advanced Data Visualization Tool Upgrades,0.9061847,True
all-MiniLM-L6-v2,2040,Request for advanced data visualization tool upgrades,2,8279,8279,Enhancement Request for Advanced Data Visualization Tools,0.8957952,False
all-MiniLM-L6-v2,2040,Request for advanced data visualization tool upgrades,3,223,223,Request for Implementation of Advanced Data Visualization Tool,0.84315807,False
all-MiniLM-L6-v2,2164,Connectivity problems with project management SaaS solution,1,432,432,Connectivity Challenges in Project Management SaaS,0.88516945,False
all-MiniLM-L6-v2,2164,Connectivity problems with project management SaaS solution,2,9384,9384,Problem with project management SaaS platform,0.8462733,False
all-MiniLM-L6-v2,2164,Connectivity problems with project management SaaS solution,3,10614,10614,Problem with Connectivity of SaaS Project Management Tools,0.84301156,False
all-MiniLM-L6-v2,2187,Ad campaign underperformance due to targeting errors,1,8308,8308,Campaign Support,0.781453,False
all-MiniLM-L6-v2,2187,Ad campaign underperformance due to targeting errors,2,10496,10496,Campaign Performance Requires Assistance,0.78063476,False
all-MiniLM-L6-v2,2187,Ad campaign underperformance due to targeting errors,3,10092,10092,Issues with Underperforming Marketing Campaigns,0.7803819,False
all-MiniLM-L6-v2,2204,Login difficulties following system update,1,666,666,Encountering Login Problems Post-Update,0.8135165,False
all-MiniLM-L6-v2,2204,Login difficulties following system update,2,4493,4493,Problem with Login Access After Recent System Updates,0.81195027,False
all-MiniLM-L6-v2,2204,Login difficulties following system update,3,9947,9947,Problems with login following recent update,0.77983177,False
all-MiniLM-L6-v2,2546,Billing problem with subscription renewal,1,2546,2546,Renewal Subscription Issue,0.9390609,True
all-MiniLM-L6-v2,2546,Billing problem with subscription renewal,2,3101,3101,Problem with Subscription Payment,0.80190694,False
all-MiniLM-L6-v2,2546,Billing problem with subscription renewal,3,10422,10422,Problem with Subscription Renewal Payment,0.7721573,False
all-MiniLM-L6-v2,2597,Security measures recommendation for hospital patient data,1,7564,7564,Improvements in Security for Medical Facilities,0.82170165,False
all-MiniLM-L6-v2,2597,Security measures recommendation for hospital patient data,2,2597,2597,Recommended Security Measures for Protecting Patient Data in Hospital IT Systems,0.8189984,True
all-MiniLM-L6-v2,2597,Security measures recommendation for hospital patient data,3,302,302,Enhancing Data Security in Hospital Settings,0.81761587,False
all-MiniLM-L6-v2,2715,Decline in brand engagement despite digital strategies,1,2190,2190,Decline in Digital Brand Engagement Observed,0.94080186,False
all-MiniLM-L6-v2,2715,Decline in brand engagement despite digital strategies,2,10364,10364,Support for Addressing Brand Engagement Drop,0.8680639,False
all-MiniLM-L6-v2,2715,Decline in brand engagement despite digital strategies,3,3473,3473,Problem with Decline in Digital Engagement,0.8529923,False
all-MiniLM-L6-v2,2784,Data analytics dashboard unexpected crash,1,10254,10254,Data analytics dashboard encountered an unexpected crash during the night for unclear reasons,0.8946538,False
all-MiniLM-L6-v2,2784,Data analytics dashboard unexpected crash,2,787,787,Problem with the Data Analytics Dashboard,0.86761034,False
all-MiniLM-L6-v2,2784,Data analytics dashboard unexpected crash,3,6121,6121,Investment Data Analytics Dashboard Encountered an Unexpected Crash Today,0.8597563,False
all-MiniLM-L6-v2,2915,Client engagement rates decrease in marketing agency,1,3066,3066,Reduction in Client Engagement Metrics,0.8931036,False
all-MiniLM-L6-v2,2915,Client engagement rates decrease in marketing agency,2,6271,6271,Decrease in Client Engagement Rates Observed,0.8724952,False
all-MiniLM-L6-v2,2915,Client engagement rates decrease in marketing agency,3,2915,2915,Notice of Reduction in Client Engagement Rates,0.8591298,True
all-MiniLM-L6-v2,3006,Digital brand growth strategies inquiry,1,909,909,Seeking Insights on Digital Brand Growth Strategies,0.89176124,False
all-MiniLM-L6-v2,3006,Digital brand growth strategies inquiry,2,507,507,Inquiry about Digital Strategies for Brand Growth,0.8822656,False
all-MiniLM-L6-v2,3006,Digital brand growth strategies inquiry,3,919,919,Inquiry Regarding Digital Strategies for Brand Growth,0.88040006,False
all-MiniLM-L6-v2,3035,Request for SaaS platform integration enhancements,1,5148,5148,Problem with SaaS Platform Integration,0.86863136,False
all-MiniLM-L6-v2,3035,Request for SaaS platform integration enhancements,2,1416,1416,Inquiry on Integration Options for SaaS Project Management Platform,0.83576405,False
all-MiniLM-L6-v2,3035,Request for SaaS platform integration enhancements,3,8188,8188,Assistance with SaaS Project,0.8165166,False
all-MiniLM-L6-v2,3157,Router connection issues affecting multiple applications,1,3157,3157,Problems with Router Connection,0.8250741,True
all-MiniLM-L6-v2,3157,Router connection issues affecting multiple applications,2,2706,2706,Router Connectivity Problems,0.7541385,False
all-MiniLM-L6-v2,3157,Router connection issues affecting multiple applications,3,9578,9578,Users Encountering Connectivity Problems in Various Software Applications,0.65039474,False
all-MiniLM-L6-v2,3337,Multiple integrations failing after Docker updates,1,4345,4345,Multiple Integrations Experienced Unexpected Failures Today,0.7463918,False
all-MiniLM-L6-v2,3337,Multiple integrations failing after Docker updates,2,3337,3337,Multiple Integrations Experienced Unforeseen Problems Today,0.7325579,True
all-MiniLM-L6-v2,3337,Multiple integrations failing after Docker updates,3,5378,5378,Several Integrations Failing Following Latest macOS Update,0.6551784,False
all-MiniLM-L6-v2,3389,Campaign metrics not updating due to API issues,1,10299,10299,Campaign Issue Report,0.8773042,False
all-MiniLM-L6-v2,3389,Campaign metrics not updating due to API issues,2,6891,6891,Campaign metrics failing to track because of API integration problem. Have reviewed dashboard configurations.,0.861147,False
all-MiniLM-L6-v2,3389,Campaign metrics not updating due to API issues,3,1812,1812,Problem with Metrics Monitoring,0.83656794,False
all-MiniLM-L6-v2,3477,Recurring access problems with SaaS application,1,3477,3477,Request for SaaS Project Management Access Assistance,0.7824632,True
all-MiniLM-L6-v2,3477,Recurring access problems with SaaS application,2,5463,5463,Frequent Connection Problems with SaaS Application Noted,0.6823379,False
all-MiniLM-L6-v2,3477,Recurring access problems with SaaS application,3,7292,7292,Problem with SaaS Platform Access,0.6769405,False
all-MiniLM-L6-v2,3614,Securing medical data in hospital IT systems inquiry,1,10676,10676,Ensuring the Security of Medical Data in Hospital Systems,0.881886,False
all-MiniLM-L6-v2,3614,Securing medical data in hospital IT systems inquiry,2,747,747,Request for Information on Securing Medical Data in Hospital IT Systems,0.8548667,False
all-MiniLM-L6-v2,3614,Securing medical data in hospital IT systems inquiry,3,5689,5689,Enhancing Security of Medical Data in Hospital Systems,0.84632033,False
all-MiniLM-L6-v2,3799,Project data vanished after DocuSign integration,1,3799,3799,Concern About Project Data After DocuSign Integration,0.8577607,True
all-MiniLM-L6-v2,3799,Project data vanished after DocuSign integration,2,4994,4994,Problem with Project Data after DocuSign Integration,0.85405916,False
all-MiniLM-L6-v2,3799,Project data vanished after DocuSign integration,3,5391,5391,Project Problem,0.7938333,False
all-MiniLM-L6-v2,3861,Medical records exposed in data breach from insecure plugin,1,3698,3698,Medical Records Compromised Through Data Breach,0.94097865,False
all-MiniLM-L6-v2,3861,Medical records exposed in data breach from insecure plugin,2,3861,3861,Medical Records Exposed in Data Breach,0.9236832,True
all-MiniLM-L6-v2,3861,Medical records exposed in data breach from insecure plugin,3,5247,5247,Urgent: Medical Data Breach,0.7748796,False
all-MiniLM-L6-v2,3865,Service outages in digital marketing tools,1,9141,9141,Urgent Improvement of Digital Strategy,0.82966924,False
all-MiniLM-L6-v2,3865,Service outages in digital marketing tools,2,3865,3865,Facing Service Interruptions in Digital Marketing Software,0.8060249,True
all-MiniLM-L6-v2,3865,Service outages in digital marketing tools,3,5619,5619,Issue with Service Downtime,0.79525924,False
all-MiniLM-L6-v2,3991,Unexpected billing error affecting multiple products,1,5569,5569,Billing Inaccuracy Across Multiple Products,0.8133474,False
all-MiniLM-L6-v2,3991,Unexpected billing error affecting multiple products,2,8734,8734,Encountering Unusual Billing Errors Across Several Products,0.7896947,False
all-MiniLM-L6-v2,3991,Unexpected billing error affecting multiple products,3,3991,3991,Issue with Billing,0.78389883,True
all-MiniLM-L6-v2,4056,Healthcare provider security breaches from outdated software,1,2105,2105,Detected Security Breaches in Healthcare Provider Systems Due to Outdated Software Vulnerabilities,0.8940536,False
all-MiniLM-L6-v2,4056,Healthcare provider security breaches from outdated software,2,8101,8101,Support Needed for Security Breach in Healthcare Provider's System,0.8215435,False
all-MiniLM-L6-v2,4056,Healthcare provider security breaches from outdated software,3,5176,5176,Urgent: Security Breach in Healthcare Provider Systems,0.8169005,False
all-MiniLM-L6-v2,4207,Payment options inquiry for subscription plans,1,2975,2975,Payment Options Inquiry,0.84279764,False
all-MiniLM-L6-v2,4207,Payment options inquiry for subscription plans,2,2743,2743,Payment Choices,0.8195008,False
all-MiniLM-L6-v2,4207,Payment options inquiry for subscription plans,3,955,955,Inquiry About New Subscription Plans,0.8143816,False
all-MiniLM-L6-v2,4223,ClickUp Excel integration compatibility issues,1,4223,4223,Problem with ClickUp Excel Integration Compatibility,0.8005576,True
all-MiniLM-L6-v2,4223,ClickUp Excel integration compatibility issues,2,3693,3693,Support Request for ClickUp Integration,0.6502961,False
all-MiniLM-L6-v2,4223,ClickUp Excel integration compatibility issues,3,3113,3113,Unexpected Termination of ClickUp Integration,0.646576,False
all-MiniLM-L6-v2,4351,SaaS application unanticipated crashes causing downtime,1,4351,4351,Unanticipated System Crashes in SaaS Application Resulting in Downtime,0.85069096,True
all-MiniLM-L6-v2,4351,SaaS application unanticipated crashes causing downtime,2,887,887,Problem with SaaS Platform,0.7983761,False
all-MiniLM-L6-v2,4351,SaaS application unanticipated crashes causing downtime,3,3239,3239,Recurring Application Crashes in SaaS Platform Noted,0.767396,False
all-MiniLM-L6-v2,4414,Investment strategies using data analytics inquiry,1,716,716,Insights into Investment Strategies Through Data Analytics,0.91381896,False
all-MiniLM-L6-v2,4414,Investment strategies using data analytics inquiry,2,1791,1791,Inquiry on Data Analytics Solutions for Investment Strategy Optimization,0.86403996,False
all-MiniLM-L6-v2,4414,Investment strategies using data analytics inquiry,3,10881,10881,Inquiry About Data Analytics Solutions for Investment Strategies Optimization,0.8555077,False
all-MiniLM-L6-v2,4521,Digital campaigns halted due to Firebase integration issue,1,4521,4521,Campaign Problem,0.8267167,True
all-MiniLM-L6-v2,4521,Digital campaigns halted due to Firebase integration issue,2,2575,2575,Problem with Campaign,0.81319493,False
all-MiniLM-L6-v2,4521,Digital campaigns halted due to Firebase integration issue,3,555,555,Problems with Digital Campaigns,0.7997727,False
all-MiniLM-L6-v2,4814,Headset billing options request,1,4814,4814,Options for Headset Billing,0.84230524,True
all-MiniLM-L6-v2,4814,Headset billing options request,2,1334,1334,Detailed Information on Billing Options for Smart Roboter Mopp,0.57060087,False
all-MiniLM-L6-v2,4814,Headset billing options request,3,2267,2267,Personalizing Billing Settings in Dynamics,0.5451566,False
all-MiniLM-L6-v2,4919,Recurring software disruptions during peak traffic,1,10549,10549,Support Application,0.60862535,False
all-MiniLM-L6-v2,4919,Recurring software disruptions during peak traffic,2,4961,4961,Technical Support Inquiry About System Interruptions,0.59923226,False
all-MiniLM-L6-v2,4919,Recurring software disruptions during peak traffic,3,7451,7451,Concern about Service Disruption,0.5861523,False
all-MiniLM-L6-v2,4924,Software integration failure after updates,1,5823,5823,Integration encountered issues after updates,0.75992435,False
all-MiniLM-L6-v2,4924,Software integration failure after updates,2,5149,5149,Report on Software Integration Problems Today,0.75860083,False
all-MiniLM-L6-v2,4924,Software integration failure after updates,3,8012,8012,Technical Support for System Issues,0.7357596,False
all-MiniLM-L6-v2,5046,Unanticipated service interruptions in data analytics tools,1,5046,5046,Unanticipated Service Interruptions Noted,0.82697093,True
all-MiniLM-L6-v2,5046,Unanticipated service interruptions in data analytics tools,2,3304,3304,Unforeseen Service Interruptions Noted,0.7719884,False
all-MiniLM-L6-v2,5046,Unanticipated service interruptions in data analytics tools,3,5190,5190,Unplanned Service Interruption Impacting Analytics Functions,0.75819427,False
all-MiniLM-L6-v2,5282,Smartsheet sync issues after software updates,1,5282,5282,Support for Smartsheet,0.7401335,True
all-MiniLM-L6-v2,5282,Smartsheet sync issues after software updates,2,9499,9499,Report on Integration Issue: Smartsheet Sync Error,0.73012364,False
all-MiniLM-L6-v2,5282,Smartsheet sync issues after software updates,3,5339,5339,Incident Report: Smartsheet Integration Failed Suddenly,0.71175647,False
all-MiniLM-L6-v2,5361,Workstation encryption failure possibly from software incompatibility,1,5361,5361,Encryption failure on workstation possibly due to software incompatibility,0.8671662,True
all-MiniLM-L6-v2,5361,Workstation encryption failure possibly from software incompatibility,2,2222,2222,Data encryption problem on workstation might be related to new software installation,0.80713516,False
all-MiniLM-L6-v2,5361,Workstation encryption failure possibly from software incompatibility,3,5222,5222,Trouble with data encryption on my workstation likely due to new software,0.76171505,False
all-MiniLM-L6-v2,5810,Malware detected on Kodak scanner due to outdated macOS,1,5810,5810,Problem with Malware Detected on Kodak Scanner,0.9056457,True
all-MiniLM-L6-v2,5810,Malware detected on Kodak scanner due to outdated macOS,2,34,34,Technical Help,0.60458374,False
all-MiniLM-L6-v2,5810,Malware detected on Kodak scanner due to outdated macOS,3,176,176,Problem with Medical Scanner - Firmware Outdated,0.508013,False
all-MiniLM-L6-v2,5985,Data analytics tools failing to generate reports,1,5985,5985,Concern Regarding Data Analytics Tools,0.87177324,True
all-MiniLM-L6-v2,5985,Data analytics tools failing to generate reports,2,7556,7556,Customer Support Query Regarding Data Analytics Tools Malfunction,0.77803504,False
all-MiniLM-L6-v2,5985,Data analytics tools failing to generate reports,3,9747,9747,Malfunction in Data Analytics Tools,0.7741387,False
all-MiniLM-L6-v2,6170,Urgent healthcare system security breach exposing medical data,1,676,676,Acknowledgment of Data Breach at Healthcare Facility,0.86697495,False
all-MiniLM-L6-v2,6170,Urgent healthcare system security breach exposing medical data,2,4001,4001,Notification on Recent Data Breach in Healthcare System,0.8609157,False
all-MiniLM-L6-v2,6170,Urgent healthcare system security breach exposing medical data,3,9066,9066,Security Breach in Healthcare Data,0.86073303,False
all-MiniLM-L6-v2,6275,Git sync failure in Azure from incompatible Node.js version,1,6275,6275,Issue with Git Sync in Azure,0.757414,True
all-MiniLM-L6-v2,6275,Git sync failure in Azure from incompatible Node.js version,2,9809,9809,Issue with project timeline sync,0.5603334,False
all-MiniLM-L6-v2,6275,Git sync failure in Azure from incompatible Node.js version,3,4210,4210,Concern about unexpected failure of project timeline sync,0.5576967,False
all-MiniLM-L6-v2,6409,Frequent crashes of investment optimization tool during analysis,1,6409,6409,Frequent Crashes of the Investment Optimization Tool,0.9033265,True
all-MiniLM-L6-v2,6409,Frequent crashes of investment optimization tool during analysis,2,816,816,Issue with the Investment Optimization Tool,0.8189208,False
all-MiniLM-L6-v2,6409,Frequent crashes of investment optimization tool during analysis,3,3375,3375,Issue with Software Crash in Investment Optimization,0.8053168,False
all-MiniLM-L6-v2,6435,Unable to access recent project updates due to server glitch,1,6435,6435,Problem with Project Updates,0.7958437,True
all-MiniLM-L6-v2,6435,Unable to access recent project updates due to server glitch,2,10581,10581,Technical Problem with Accessing Project Data Platform,0.64160717,False
all-MiniLM-L6-v2,6435,Unable to access recent project updates due to server glitch,3,10201,10201, Urgent Support Required for Project Management Platform,0.63506037,False
all-MiniLM-L6-v2,6447,Unexpected drop in digital marketing campaign engagement,1,6447,6447,Sudden Drop in Digital Marketing Campaign Engagement,0.8577473,True
all-MiniLM-L6-v2,6447,Unexpected drop in digital marketing campaign engagement,2,886,886,Problem with Digital Campaigns,0.85774636,False
all-MiniLM-L6-v2,6447,Unexpected drop in digital marketing campaign engagement,3,7172,7172,Marketing Firm Noticing Drop in Engagement Indicators Lately,0.8419533,False
all-MiniLM-L6-v2,6452,Project data vanished possibly from sync issues,1,7381,7381,Problem with Project Data Suddenly Vanishing Today,0.8787516,False
all-MiniLM-L6-v2,6452,Project data vanished possibly from sync issues,2,4969,4969,Project Data Disappeared Without Reason Today,0.8779284,False
all-MiniLM-L6-v2,6452,Project data vanished possibly from sync issues,3,10530,10530,Problem with Project Data Vanishing Today,0.8748784,False
all-MiniLM-L6-v2,6749,Application crashing during peak usage hours,1,6749,6749,Problem with Application Crashing During Peak Usage,0.81816757,True
all-MiniLM-L6-v2,6749,Application crashing during peak usage hours,2,3742,3742,Report on Frequent Application Crashes During Peak Usage,0.77208006,False
all-MiniLM-L6-v2,6749,Application crashing during peak usage hours,3,5660,5660,Problem with Software Crash During Peak Analysis,0.7207052,False
all-MiniLM-L6-v2,6982,Frequent system crashes possibly from resource overload,1,6483,6483,Technical Glitches Resulting from System Overload,0.7819116,False
all-MiniLM-L6-v2,6982,Frequent system crashes possibly from resource overload,2,6365,6365,Issues with Software Crashes Amid System Overload,0.75568485,False
all-MiniLM-L6-v2,6982,Frequent system crashes possibly from resource overload,3,3466,3466,Multiple Crashes Caused by System Overload,0.7506505,False
all-MiniLM-L6-v2,7017,Project management software system requirements inquiry,1,847,847,Inquiry on System Requirements,0.73783934,False
all-MiniLM-L6-v2,7017,Project management software system requirements inquiry,2,8689,8689,System Requirements Inquiry for Project Management SaaS,0.72827125,False
all-MiniLM-L6-v2,7017,Project management software system requirements inquiry,3,2835,2835,Inquiry About System Specifications,0.7098449,False
all-MiniLM-L6-v2,7227,Medical data access denied possibly from malware,1,7227,7227,Access to Medical Data Denied Today,0.80976856,True
all-MiniLM-L6-v2,7227,Medical data access denied possibly from malware,2,489,489,Denied Access to Medical Information,0.7851025,False
all-MiniLM-L6-v2,7227,Medical data access denied possibly from malware,3,7782,7782,Unexpected Denial of Medical Data Access Today,0.78346115,False
all-MiniLM-L6-v2,7352,Request for UI update to improve navigation experience,1,5713,5713,Enhance User Interface,0.76463425,False
all-MiniLM-L6-v2,7352,Request for UI update to improve navigation experience,2,1928,1928,Enhance User Interface for Improved Navigation and User Experience,0.7021985,False
all-MiniLM-L6-v2,7352,Request for UI update to improve navigation experience,3,7352,7352,Enhance User Interface for Optimal Navigation Experience,0.69765943,True
all-MiniLM-L6-v2,7419,Digital campaign underperformance from inconsistent tracking,1,1242,1242,Report on Campaign Anomalies,0.7966006,False
all-MiniLM-L6-v2,7419,Digital campaign underperformance from inconsistent tracking,2,6604,6604,Inconsistent Data Tracking in Digital Campaign,0.7894567,False
all-MiniLM-L6-v2,7419,Digital campaign underperformance from inconsistent tracking,3,7419,7419,Concerns About Campaign Performance,0.75811505,True
all-MiniLM-L6-v2,7584,Medical data security services details request,1,7584,7584,Request for Details on Medical Data Security Services,0.84731674,True
all-MiniLM-L6-v2,7584,Medical data security services details request,2,7505,7505,Concern About Security in Medical Data Access,0.8042773,False
all-MiniLM-L6-v2,7584,Medical data security services details request,3,4098,4098,Ensuring Medical Data Security in Hospitals,0.80113757,False
all-MiniLM-L6-v2,7745,Elasticsearch periodic failures after update on Mac Mini,1,7745,7745,Elasticsearch Update Resulting in Periodic Failures,0.91696906,True
all-MiniLM-L6-v2,7745,Elasticsearch periodic failures after update on Mac Mini,2,2273,2273,Elasticsearch Update Resulting in Sporadic Failures,0.88569117,False
all-MiniLM-L6-v2,7745,Elasticsearch periodic failures after update on Mac Mini,3,9555,9555,Elasticsearch Update Leading to Frequent Malfunctioning,0.86279976,False
all-MiniLM-L6-v2,7766,Medical data encryption failure on iMac,1,7766,7766,Concern Regarding Medical Data Encryption on iMac,0.83656085,True
all-MiniLM-L6-v2,7766,Medical data encryption failure on iMac,2,189,189,Health Data Encryption Problem,0.8245102,False
all-MiniLM-L6-v2,7766,Medical data encryption failure on iMac,3,6082,6082,Sudden Failure in Medical Data Encryption Today,0.7675934,False
all-MiniLM-L6-v2,7942,Decline in digital campaign engagement despite adjustments,1,2621,2621,Status of Digital Campaigns,0.84556067,False
